Power;Pressure;Point1_EtchRateO;Point2_EtchRateO;Point3_EtchRateO;Point4_EtchRateO;Point5_EtchRateO;Point6_EtchRateO;Point7_EtchRateO;Point8_EtchRateO;Point9_EtchRateO;Point10_EtchRateO
221.4;0.012097;0.054998339;0.05181003;0.047426104;0.041049485;0.034633012;0.02925274;0.023194952;0.016937894;0.01215543;0.010640983
206;0.053545;0.068548655;0.060577881;0.053404185;0.043839256;0.032480903;0.020205912;0.011278645;0.006336765;0.001928927;0.000549983
276.2;0.03222;0.077715045;0.07612089;0.072932581;0.066555961;0.056991033;0.044237795;0.030567918;0.018213218;0.009086682;0.004423779
314.1;0.02653;0.087678512;0.080903354;0.073331119;0.062570575;0.052208569;0.045034872;0.034354035;0.022636998;0.013111923;0.006894719
146.6;0.056984;0.062570575;0.054599801;0.047824643;0.038618399;0.027977416;0.016658917;0.010441714;0.005061441;0.001374958;0.000109598
279.3;0.056945;0.062570575;0.054998339;0.047824643;0.038658253;0.028057124;0.016698771;0.010481568;0.005101295;0.001378944;0.000115178
106.9;0.036548;0.08528728;0.080903354;0.074925274;0.065758884;0.054599801;0.040252408;0.026662238;0.014466955;0.006296911;0.003527067
91.6;0.01109;0.045433411;0.042245101;0.039574892;0.034553305;0.028973763;0.024789107;0.019767519;0.014865493;0.011079376;0.009285952
224.4;0.05102;0.072534042;0.064961807;0.057389572;0.047824643;0.036027898;0.023115244;0.012195284;0.007173696;0.002706078;0.00082099
385.9;0.024375;0.089272667;0.082896048;0.075722351;0.065360345;0.053005646;0.043042179;0.034593158;0.02379276;0.014546662;0.008249751
169.1;0.053369;0.068947194;0.06097642;0.053802723;0.043839256;0.032720027;0.020405181;0.011278645;0.006376619;0.001984723;0.00056991
254.8;0.053011;0.069345732;0.061374958;0.054201262;0.044636333;0.033158419;0.02080372;0.011358353;0.006496181;0.002092328;0.000609764
128.3;0.037532;0.085685819;0.080504816;0.074526735;0.065360345;0.053404185;0.039216207;0.025665892;0.013590169;0.006217204;0.003279973
139.3;0.052501;0.07014281;0.062172036;0.054998339;0.045433411;0.033915643;0.021401528;0.011398207;0.00669545;0.002247758;0.00066556
227.1;0.027389;0.086084357;0.079707738;0.072135503;0.061374958;0.054201262;0.045433411;0.03399535;0.02203919;0.012514115;0.006376619
294.7;0.021923;0.087678512;0.082896048;0.076519429;0.0669545;0.054998339;0.041049485;0.033158419;0.024470276;0.01586184;0.009804052
361.8;0.012547;0.058186649;0.054998339;0.050215875;0.043839256;0.036944537;0.031046164;0.024430422;0.017655264;0.012434407;0.011119229
385.8;0.016748;0.075722351;0.069744271;0.066555961;0.060577881;0.05181003;0.041448024;0.030209233;0.021082697;0.01657921;0.012195284
241.5;0.038907;0.085685819;0.080106277;0.073729658;0.064164729;0.05181003;0.037821322;0.024151445;0.012434407;0.006017934;0.002925274
98.5;0.055218;0.065758884;0.05778811;0.050614414;0.041049485;0.030288941;0.018452341;0.01091996;0.005699103;0.001446695;0.000344736
102.3;0.048558;0.07612089;0.068947194;0.061773497;0.051411491;0.039574892;0.026104284;0.014466955;0.007851212;0.003471272;0.001044171
140.1;0.045207;0.080504816;0.073729658;0.066555961;0.056592494;0.044237795;0.030249087;0.017655264;0.008488874;0.004463633;0.001275324
139;0.057893;0.06097642;0.053404185;0.046629027;0.037303222;0.026861508;0.015702424;0.010162737;0.00474261;0.001315178;3.99E-43
172.5;0.021071;0.086482896;0.08209897;0.07612089;0.0669545;0.055396878;0.041846563;0.032122219;0.024430422;0.016220525;0.010322152
137.9;0.046763;0.078512122;0.071736964;0.064563268;0.054201262;0.042245101;0.028296247;0.016140817;0.008249751;0.004025241;0.001155762
265.6;0.025777;0.08847559;0.081700432;0.074526735;0.063766191;0.051012953;0.044636333;0.034593158;0.02307539;0.013630023;0.007333112
173.1;0.047422;0.077715045;0.070541348;0.063367652;0.053005646;0.041049485;0.02749917;0.015503155;0.008130189;0.003825971;0.001119894
340.8;0.027654;0.086084357;0.0793092;0.071736964;0.06097642;0.054599801;0.045433411;0.033835935;0.02183992;0.012314846;0.006217204
254.8;0.032323;0.077715045;0.076519429;0.072932581;0.066555961;0.056991033;0.043839256;0.03048821;0.01813351;0.009006974;0.004423779
242.4;0.011697;0.051411491;0.048223182;0.044636333;0.038777815;0.032441049;0.027539024;0.021919628;0.016180671;0.011796745;0.010122883
150;0.041069;0.084888741;0.078512122;0.071736964;0.061773497;0.049418798;0.035350382;0.021760213;0.010640983;0.005539688;0.002347393
