Power;Pressure;xAr;Point1_EtchRate;Point2_EtchRate;Point3_EtchRate;Point4_EtchRate;Point5_EtchRate;Point6_EtchRate;Point7_EtchRate;Point8_EtchRate;Point9_EtchRate;Point10_EtchRate
1105.7;0.056331;0.44;0.676957;0.606467;0.579287;0.527439;0.469479;0.392857;0.309584;0.222379;0.145927;0.090045
1042.1;0.014745;0.57;0.905195;0.869295;0.835032;0.774332;0.696133;0.597729;0.494439;0.391667;0.301842;0.240391
685.1;0.028771;0.75;0.929012;0.850831;0.789828;0.691817;0.584711;0.471780;0.353474;0.252706;0.169643;0.115394
648.1;0.0373;0.61;0.671356;0.607645;0.569422;0.505250;0.437090;0.353549;0.273685;0.199968;0.135350;0.087807
932.3;0.015584;0.32;0.734197;0.702065;0.684155;0.648430;0.599978;0.533382;0.453609;0.378892;0.300101;0.234514
618.8;0.055223;0.79;0.691423;0.611705;0.558857;0.473857;0.386600;0.295261;0.211366;0.145330;0.093255;0.058018
1426.2;0.041664;0.75;1.747408;1.583687;1.493017;1.328275;1.126762;0.877141;0.635618;0.431502;0.281593;0.183655
1680.5;0.055271;0.25;0.833506;0.743882;0.717545;0.666070;0.609109;0.530372;0.430149;0.325745;0.218800;0.137686
342;0.041528;0.5;0.307982;0.281948;0.268827;0.243603;0.211661;0.172082;0.129873;0.090284;0.056992;0.035131
1049.9;0.010711;0.15;0.561452;0.545555;0.534710;0.515541;0.485925;0.444199;0.391180;0.347262;0.303548;0.268264
421.9;0.025824;0.14;0.464216;0.429488;0.409177;0.372231;0.331354;0.278426;0.217387;0.158675;0.107454;0.070157
1422.9;0.015594;0.65;1.406068;1.331252;1.265425;1.153920;1.028642;0.873858;0.698782;0.541026;0.404267;0.305570
1684.8;0.041473;0.08;0.891030;0.812338;0.797669;0.761581;0.716930;0.645604;0.548958;0.432049;0.301846;0.200599
393.7;0.013035;0.21;0.306559;0.294437;0.287260;0.272078;0.250980;0.221648;0.186956;0.152208;0.120499;0.098418
325.4;0.033872;0.59;0.334953;0.305579;0.288395;0.261750;0.229741;0.190067;0.147120;0.105735;0.069802;0.045320
1257.4;0.025277;0.67;1.558211;1.449551;1.369956;1.224934;1.053967;0.857554;0.650993;0.482963;0.333025;0.229425
796.3;0.053225;0.32;0.495855;0.448989;0.433319;0.400350;0.356567;0.297732;0.225008;0.156848;0.097905;0.057598
1659.8;0.026679;0.02;0.889078;0.844948;0.846439;0.838362;0.824653;0.782471;0.702184;0.586667;0.449074;0.334635
785;0.016771;0.9;0.960031;0.909035;0.862944;0.784705;0.682557;0.558467;0.437312;0.323610;0.229453;0.163275
1541.2;0.048273;0.1;0.782239;0.706567;0.693511;0.662442;0.622484;0.549071;0.451771;0.337049;0.222268;0.141754
936.6;0.025931;0.85;1.407889;1.308936;1.229233;1.092874;0.932692;0.748631;0.549341;0.388444;0.252935;0.167007
604.8;0.020004;0.85;0.787610;0.741416;0.698524;0.626692;0.538531;0.440529;0.338806;0.246674;0.172678;0.120104
475.9;0.01345;0.66;0.350392;0.337891;0.327117;0.307298;0.280860;0.247218;0.207119;0.170242;0.136175;0.110336
732.5;0.037596;0.55;0.710006;0.642871;0.605305;0.542144;0.472579;0.386355;0.302125;0.222681;0.151419;0.098384
1316.5;0.030191;0.45;1.224467;1.121257;1.059218;0.956549;0.846817;0.717560;0.572460;0.434718;0.310590;0.220128
1396;0.047506;0.33;0.878614;0.794681;0.757898;0.689129;0.616148;0.528517;0.428914;0.322094;0.221476;0.144939
1271.3;0.034359;0.1;0.856177;0.789254;0.774161;0.738834;0.692475;0.612558;0.510945;0.395192;0.279740;0.188382
313.7;0.029239;0.33;0.330957;0.306000;0.292209;0.266492;0.233793;0.194176;0.149613;0.107539;0.070722;0.046158
1480.5;0.01307;0.83;1.364429;1.323550;1.264442;1.172746;1.040695;0.878350;0.706016;0.551121;0.414385;0.319942
1591.3;0.020685;0.09;0.901898;0.856376;0.845985;0.820634;0.786747;0.744957;0.684421;0.593820;0.478296;0.368860
1379.3;0.037194;0.15;0.872929;0.803830;0.785050;0.743254;0.693319;0.609660;0.510307;0.396750;0.279049;0.188173
359.7;0.030532;0.29;0.370465;0.343503;0.328610;0.299258;0.262598;0.217725;0.167034;0.119461;0.077743;0.050125
829.5;0.055048;0.81;0.985947;0.877418;0.811851;0.697673;0.565385;0.425232;0.300352;0.202280;0.128275;0.081079
1286.1;0.012814;0.55;0.965980;0.929053;0.892535;0.828567;0.749280;0.655800;0.546150;0.442384;0.349726;0.283718
1321.3;0.032175;0.32;1.015152;0.941868;0.906068;0.840979;0.762208;0.659365;0.540005;0.415534;0.301675;0.210976
614;0.036891;0.77;0.813731;0.739244;0.683875;0.592082;0.487209;0.380329;0.277573;0.195035;0.129205;0.084804
676.7;0.016703;0.86;0.795155;0.751924;0.711254;0.643879;0.557633;0.462014;0.360497;0.271156;0.192663;0.141645
1242.2;0.037047;0.56;1.258682;1.146766;1.078978;0.960466;0.819682;0.655483;0.501980;0.365092;0.256631;0.175389
968.5;0.052868;0.55;0.741376;0.658484;0.615977;0.546963;0.474080;0.388994;0.299187;0.218327;0.144812;0.091227
1173.2;0.019901;0.7;1.412655;1.333927;1.260642;1.134439;0.983096;0.815109;0.635082;0.471907;0.340061;0.243124
631;0.01778;0.33;0.590395;0.558655;0.538836;0.507277;0.470377;0.418829;0.350530;0.274849;0.203719;0.151759
548;0.013069;0.92;0.435328;0.423491;0.403884;0.371897;0.329803;0.278353;0.226450;0.176387;0.136758;0.106275
1461.5;0.043054;0.12;0.829627;0.754207;0.735775;0.694567;0.647554;0.578858;0.477878;0.364457;0.250231;0.161590
1373.7;0.01093;0.78;0.993949;0.962482;0.921361;0.854790;0.767532;0.656497;0.535394;0.432948;0.341485;0.282367
1608.3;0.024555;0.33;1.258063;1.168661;1.116916;1.034739;0.933465;0.811340;0.691300;0.559672;0.422360;0.308192
451;0.058691;0.12;0.217785;0.198191;0.191370;0.174713;0.152549;0.120484;0.088728;0.058228;0.035634;0.022359
555.1;0.048232;0.54;0.437532;0.396871;0.378192;0.343143;0.303150;0.248470;0.190532;0.133106;0.084438;0.051670
438.7;0.022184;0.64;0.463259;0.435792;0.416062;0.384102;0.345941;0.294938;0.235438;0.177528;0.125841;0.089577
985.7;0.044106;0.6;0.961291;0.860048;0.799651;0.700861;0.595709;0.472114;0.360167;0.262277;0.179175;0.117630
570.5;0.016893;0.74;0.577123;0.548104;0.522273;0.480423;0.425854;0.361848;0.290489;0.224754;0.168297;0.125042
1554.2;0.041491;0.17;0.905273;0.820817;0.798274;0.750688;0.694114;0.611588;0.512794;0.400750;0.280355;0.185717
438.7;0.052851;0.76;0.422766;0.377406;0.349998;0.306085;0.257342;0.201824;0.150366;0.103582;0.065658;0.040215
361.8;0.05499;0.76;0.321942;0.288997;0.270054;0.237868;0.200946;0.160461;0.117654;0.081336;0.051139;0.030783
1381.5;0.034316;0.54;1.401173;1.273870;1.195674;1.070291;0.927739;0.754393;0.575707;0.422731;0.297751;0.206502
736.7;0.043976;0.59;0.672715;0.609726;0.572419;0.506470;0.433987;0.355050;0.274271;0.198416;0.131628;0.084354
550.6;0.045206;0.27;0.418725;0.381276;0.365653;0.333677;0.291887;0.239814;0.178550;0.123088;0.076709;0.046080
774.5;0.033044;0.49;0.746657;0.687583;0.652829;0.592207;0.520214;0.437163;0.342294;0.255257;0.177015;0.118729
1014.2;0.024013;0.14;0.803779;0.762252;0.750845;0.720955;0.680816;0.612794;0.517086;0.404835;0.298217;0.213061
1568.9;0.01381;0.33;0.947030;0.915185;0.893090;0.850925;0.795936;0.718742;0.627007;0.525612;0.427004;0.360921
1180.5;0.032231;0.02;0.843991;0.787105;0.774468;0.742808;0.696998;0.615346;0.511578;0.393527;0.277860;0.186391
442.1;0.018285;0.8;0.463191;0.434841;0.412844;0.378637;0.336495;0.282805;0.225192;0.173853;0.125852;0.092617
847.2;0.029937;0.72;1.125033;1.032504;0.961037;0.842941;0.708672;0.571896;0.428186;0.305515;0.205102;0.139496
376.5;0.056029;0.79;0.355556;0.319030;0.295207;0.256988;0.213745;0.168089;0.122786;0.084457;0.053119;0.032036
1001.8;0.035567;0.4;0.846775;0.777512;0.741832;0.676628;0.602140;0.509519;0.405525;0.306586;0.214152;0.143853
1227.7;0.05509;0.4;0.733548;0.657440;0.626610;0.573037;0.510884;0.432960;0.341370;0.250777;0.166528;0.103749
694.1;0.014656;0.57;0.594564;0.567884;0.546829;0.512492;0.465919;0.403456;0.334774;0.268227;0.211953;0.166418
622.5;0.025951;0.27;0.628603;0.584513;0.563996;0.524739;0.473780;0.404028;0.320766;0.241846;0.169420;0.114351
1295.6;0.054348;0.6;1.082503;0.967314;0.902254;0.786810;0.658636;0.521898;0.393914;0.285660;0.192849;0.126401
1126.9;0.044226;0.56;1.040982;0.932744;0.870098;0.763261;0.653276;0.520387;0.399822;0.294510;0.202809;0.134252
486.9;0.049113;0.86;0.655113;0.585229;0.536786;0.455450;0.363664;0.271907;0.191328;0.128166;0.079959;0.049676
330.2;0.023228;0.24;0.368693;0.343357;0.328340;0.300176;0.264886;0.224221;0.176329;0.130897;0.090025;0.061309
1083.8;0.025735;0.51;1.109951;1.028402;0.976192;0.882553;0.771406;0.650975;0.528111;0.400139;0.286349;0.202255
721.1;0.01916;0.09;0.673031;0.642498;0.628016;0.597603;0.556505;0.494177;0.412353;0.321635;0.237987;0.174504
1615.2;0.032374;0.63;1.832272;1.697609;1.601996;1.431094;1.223332;0.987014;0.751330;0.532048;0.363185;0.249565
1673.3;0.026334;0.61;1.880287;1.751331;1.661072;1.498188;1.298178;1.069602;0.818571;0.609922;0.425925;0.296273
701.3;0.023991;0.67;0.837914;0.777079;0.732356;0.656608;0.567230;0.469904;0.373015;0.275551;0.193617;0.134813
1421.1;0.056588;0.82;1.607153;1.406237;1.326858;1.178980;0.997572;0.768123;0.543661;0.361196;0.227392;0.143347
