Power;Pressure;xAr;Point1_EtchRate;Point2_EtchRate;Point3_EtchRate;Point4_EtchRate;Point5_EtchRate;Point6_EtchRate;Point7_EtchRate;Point8_EtchRate;Point9_EtchRate;Point10_EtchRate
1242.2;0.037047;0.56;1.258682;1.146766;1.078978;0.960466;0.819682;0.655483;0.501980;0.365092;0.256631;0.175389
968.5;0.052868;0.55;0.741376;0.658484;0.615977;0.546963;0.474080;0.388994;0.299187;0.218327;0.144812;0.091227
1173.2;0.019901;0.7;1.412655;1.333927;1.260642;1.134439;0.983096;0.815109;0.635082;0.471907;0.340061;0.243124
631;0.01778;0.33;0.590395;0.558655;0.538836;0.507277;0.470377;0.418829;0.350530;0.274849;0.203719;0.151759
548;0.013069;0.92;0.435328;0.423491;0.403884;0.371897;0.329803;0.278353;0.226450;0.176387;0.136758;0.106275
1461.5;0.043054;0.12;0.829627;0.754207;0.735775;0.694567;0.647554;0.578858;0.477878;0.364457;0.250231;0.161590
1373.7;0.01093;0.78;0.993949;0.962482;0.921361;0.854790;0.767532;0.656497;0.535394;0.432948;0.341485;0.282367
1608.3;0.024555;0.33;1.258063;1.168661;1.116916;1.034739;0.933465;0.811340;0.691300;0.559672;0.422360;0.308192
451;0.058691;0.12;0.217785;0.198191;0.191370;0.174713;0.152549;0.120484;0.088728;0.058228;0.035634;0.022359
555.1;0.048232;0.54;0.437532;0.396871;0.378192;0.343143;0.303150;0.248470;0.190532;0.133106;0.084438;0.051670
438.7;0.022184;0.64;0.463259;0.435792;0.416062;0.384102;0.345941;0.294938;0.235438;0.177528;0.125841;0.089577
985.7;0.044106;0.6;0.961291;0.860048;0.799651;0.700861;0.595709;0.472114;0.360167;0.262277;0.179175;0.117630
570.5;0.016893;0.74;0.577123;0.548104;0.522273;0.480423;0.425854;0.361848;0.290489;0.224754;0.168297;0.125042
1554.2;0.041491;0.17;0.905273;0.820817;0.798274;0.750688;0.694114;0.611588;0.512794;0.400750;0.280355;0.185717
438.7;0.052851;0.76;0.422766;0.377406;0.349998;0.306085;0.257342;0.201824;0.150366;0.103582;0.065658;0.040215
361.8;0.05499;0.76;0.321942;0.288997;0.270054;0.237868;0.200946;0.160461;0.117654;0.081336;0.051139;0.030783
1381.5;0.034316;0.54;1.401173;1.273870;1.195674;1.070291;0.927739;0.754393;0.575707;0.422731;0.297751;0.206502
736.7;0.043976;0.59;0.672715;0.609726;0.572419;0.506470;0.433987;0.355050;0.274271;0.198416;0.131628;0.084354
